code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi,chg60,drawdown,ma20,chg20,chg5,n
601865,福莱特,11.15,-5.106,2.85315,26.548,1.186,261.23118054450003,211.96434804449999,6.11072233,-12.833827893175076,-15.162454873646203,9.889000000000001,20.760534429599176,16.567460317460323,70
000582,北部湾港,13.09,4.553,2.07594,29.416,1.614,329.486358432,282.3314323907,5.71811294,12.387791741472153,-16.02951039570758,11.905,12.186379928315416,0.8863819500402936,70
603369,今世缘,28.38,4.109,1.57324,13.59,1.972,353.8418505006,353.8418505006,5.51474259,5.00770416024654,-10.033003300330034,26.708499999999997,9.698189134808842,-5.0174216027874525,70
600256,广汇能源,5.78,1.94,1.44234,27.896,1.514,369.4577713192,369.4577713192,5.33313203,-12.769230769230766,-16.000000000000004,5.4635,8.413001912045882,4.036697247706411,70
002555,三七互娱,19.83,0.202,1.65378,15.023,3.026,438.68673214229995,314.7732597567,5.1932904,-8.422026839426188,-11.45413870246086,19.052000000000003,3.1803962460896784,-0.6027122049221512,70
603198,迎驾贡酒,39.94,7.8,1.62249,16.105,2.786,319.52,319.52,5.09133581,-2.2169437846397577,-4.682274247491636,35.735,14.670380687093765,-4.682274247491636,70
603979,金诚信,80.3,1.402,1.02655,21.413,4.376,500.90544173999996,500.90544173999996,5.08935989,31.32669983416252,0.0,70.7255,21.363984674329494,6.66756465517242,70
000893,亚钾国际,48.18,-0.104,1.26829,26.315,3.204,445.20786189660004,391.12828690320003,4.98703835,-8.862433862433871,-13.20856577289905,47.0235,21.63934426229508,-6.999614346317006,70
002768,国恩股份,59.66,1.983,3.32939,18.82,3.777,260.47556000000003,150.4972820922,4.91486593,7.913669064748197,-25.344563552833076,51.3005,2.902374670184704,24.600638977635782,70
002832,比音勒芬,26.0,5.605,4.88384,27.083,2.59,148.38384184,101.24875383999999,4.90666291,37.6957494407159,-5.271258176221616,23.490000000000006,18.99468342194297,-5.271258176221616,70
600763,通策医疗,37.06,1.202,2.9281,33.089,3.75,165.7653467602,165.7653467602,4.86899455,-15.796734881581987,-15.796734881581987,35.723,6.639487478159567,-0.7049891540130249,70
002601,龙佰集团,16.55,2.097,1.45008,31.827,1.727,394.593053268,328.94826108300003,4.83495945,-3.396901072705605,-9.794101279910949,16.312499999999996,1.3125000000000053,-1.037851037851023,70
002237,恒邦股份,14.7,3.158,2.79643,27.222,1.56,210.205649976,175.276333176,4.82400088,-10.433689503456945,-16.861143523920653,13.0495,10.981308411214963,6.263982102908283,70
601918,新集能源,10.2,3.87,1.82387,12.364,1.513,264.2352636,264.2352636,4.75602063,12.873563218390816,-12.943262411347511,9.808,4.3570669500531345,0.306435137895833,70
603345,安井食品,85.84,0.751,1.86095,19.509,1.782,286.09521922880003,251.7637687488,4.70179372,-14.663461538461542,-22.418503004917135,86.80499999999999,4.5270518954729555,-5.217488040938923,70
601677,明泰铝业,17.39,2.96,2.17779,11.219,1.091,216.2082400353,216.2082400353,4.68269803,-3.485714285714281,-14.263959390862935,16.252000000000002,10.464355788096814,0.2969121140142583,70
002698,博实股份,13.62,-0.439,3.76392,24.558,3.296,139.272886515,114.97163986500001,4.35849013,6.708268330733236,-9.762532981530347,12.725,9.527622097678146,2.0895522388059584,70
601001,晋控煤业,17.85,3.299,1.43971,16.376,1.528,298.75545,298.75545,4.24952962,-9.481403876375062,-23.84310268840899,17.160000000000004,1.1709601873536535,5.045592705167179,70
