code,name,chg_today,chg_60d,chg_ytd,up,down,leader,leader_code,turnover
BK1257,农业综合Ⅱ,-1.31,-12.35,-20.07,0,3,辉隆股份,002556,1.26
BK1437,改性塑料,-1.01,-12.34,-0.66,4,17,江苏博云,301003,2.28
BK1451,厨房电器,-1.21,-12.3,-13.65,2,4,浙江美大,002677,1.8
BK1247,基础建设,-0.22,-12.27,-10.45,19,25,交投生态,002200,0.77
BK1573,油田服务,1.82,-12.17,10.05,7,1,科力股份,920088,1.2
BK1268,互联网电商,-0.94,-12.17,-3.13,3,15,若羽臣,003010,1.78
BK0464,石油石化,0.3,-12.15,1.4,18,30,通源石油,300164,0.57
BK0424,水泥,-1.25,-12.08,-15.9,6,17,国统股份,002205,1.23
BK1400,制冷空调设备,-0.56,-12.07,-1.9,4,14,佳力图,603912,3.14
BK1360,金融信息服务,-0.17,-12.05,-1.25,1,2,仁东控股,002647,4.54
BK1508,畜禽饲料,-0.74,-12.02,-18.74,2,7,邦基科技,603151,1.33
BK1334,光学元件,-0.33,-11.9,18.63,7,19,东田微,301183,3.85
BK1544,大宗用纸,1.17,-11.89,-14.81,4,6,林平发展,603284,1.17
BK1389,固废治理,-0.71,-11.89,3.92,7,27,劲旅环境,001230,1.42
BK1330,模拟芯片设计,0.13,-11.88,17.27,15,19,思瑞浦,688536,2.69
BK1370,特钢Ⅲ,-2.31,-11.86,-13.7,0,12,中信特钢,000708,1.01
BK1227,特钢Ⅱ,-2.31,-11.86,-13.7,0,12,中信特钢,000708,1.01
BK1371,铁矿石,-2.59,-11.86,-12.8,0,5,宝地矿业,601121,2.2
BK1373,电能综合服务,-0.19,-11.8,5.4,4,9,电投绿能,000875,1.27
BK1550,贸易Ⅲ,-0.64,-11.79,-15.88,2,11,苏豪时尚,600287,1.02
BK0484,贸易Ⅱ,-0.64,-11.79,-15.88,2,11,苏豪时尚,600287,1.02
BK0456,家用电器,-0.3,-11.77,-8.18,34,71,宏昌科技,301008,1.34
BK0738,多元金融,-0.69,-11.74,-18.79,5,21,仁东控股,002647,0.75
BK1222,影视院线,1.98,-11.73,-15.59,12,6,北京文化,000802,5.39
BK1579,保健品,-0.4,-11.69,-24.37,2,7,ST西王,000639,3.97
BK0454,塑料,-0.1,-11.61,4.11,23,52,双星新材,002585,3.87
BK1433,复合肥,-0.85,-11.55,-6.51,1,9,ST司特,002538,2.04
BK1566,检测服务,-1.67,-11.53,-3.49,2,21,信测标准,300938,2.11
BK1473,园林工程,0.35,-11.51,-6.1,11,5,交投生态,002200,2.38
BK1411,非金属材料Ⅲ,-1.26,-11.46,5.38,2,12,金博股份,688598,2.79
BK1020,非金属材料Ⅱ,-1.26,-11.46,5.38,2,12,金博股份,688598,2.79
BK1394,轨交设备Ⅲ,-0.59,-11.46,-6.16,5,24,九州一轨,688485,0.63
BK1236,轨交设备Ⅱ,-0.59,-11.46,-6.16,5,24,九州一轨,688485,0.63
BK1206,基础化工,-0.92,-11.44,-0.82,82,361,亚邦股份,603188,2.42
BK1436,农药,-1.55,-11.43,-10.14,2,30,辉丰股份,002496,1.63
BK0538,化学制品,-0.74,-11.42,-0.28,39,140,亚邦股份,603188,2.85
BK1447,垂直应用软件,-0.1,-11.35,-12.06,38,59,普联软件,300996,3.15
BK1567,其他专业服务,-0.67,-11.33,1.85,1,3,安邦护卫,603373,1.18
BK1584,熟食,-0.71,-11.29,1.79,1,2,紫燕食品,603057,1.06
BK1038,光学光电子,-0.36,-11.09,5.83,30,64,东田微,301183,3.1
BK0486,传媒,-0.22,-11.04,-8.34,39,86,北京文化,000802,3.11
BK1523,汽车经销商,-0.23,-10.85,-20.34,1,3,上海物贸,600822,0.78
BK1547,跨境电商,-1.55,-10.8,-1.08,1,7,华凯易佰,300592,5.07
BK1542,文化用品,-0.53,-10.79,-22.27,2,3,广博股份,002103,1.3
BK1346,住宅开发,0.82,-10.76,-5.57,33,25,京投发展,600683,1.74
BK0428,电力,-0.11,-10.74,13.55,30,75,兆新股份,002256,1.41
